123,100.0,Fender,Stratocaster,electric,alder,alder
12345,1500.0,Fender,Stratocaster,Electric,Maple,Alder
12345,1500.0,Fender,Stratocaster,Electric,Maple,Alder
12346,1500.0,Fender,Stratocaster,Electric,Maple,Alder
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,1500.0,Fender,Stratocaster,Electric,Maple,Alder
12346,1500.0,Fender,Stratocaster,Electric,Maple,Alder
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
12345,999.99,Fender,Stratocaster,Electric,Maple,Alder
54321,799.95,Gibson,Les Paul,Electric,Mahogany,Maple
